[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_220414-dilution-new6_16_14.lcd
Output Date,11/20/2023
Output Time,3:54:27 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3992
0.00167,-3992
0.00333,-3994
0.00500,-3996
0.00667,-3999
0.00833,-4002
0.01000,-4007
0.01167,-1
0.01333,-6
0.01500,-12
0.01667,-19
0.01833,-27
0.02000,-35
0.02167,-0
0.02333,-5
0.02500,-8
0.02667,-12
0.02833,-15
0.03000,-18
0.03167,-22
0.03333,-26
0.03500,-31
0.03667,-36
0.03833,-42
0.04000,-47
0.04167,-53
0.04333,-59
0.04500,-65
0.04667,-70
0.04833,-74
0.05000,-77
0.05167,-80
0.05333,-83
0.05500,-84
0.05667,-86
0.05833,-87
0.06000,-88
0.06167,-89
0.06333,-91
0.06500,-93
0.06667,-95
0.06833,-99
0.07000,-102
0.07167,-106
0.07333,-109
0.07500,-112
0.07667,-116
0.07833,-119
0.08000,-121
0.08167,-122
0.08333,-123
0.08500,-122
0.08667,-122
0.08833,-123
0.09000,-125
0.09167,-128
0.09333,-132
0.09500,-137
0.09667,-141
0.09833,-145
0.10000,-149
0.10167,-153
0.10333,-157
0.10500,-159
0.10667,-161
0.10833,-161
0.11000,-160
0.11167,-159
0.11333,-158
0.11500,-157
0.11667,-155
0.11833,-153
0.12000,-152
0.12167,-150
0.12333,-150
0.12500,-150
0.12667,-150
0.12833,-150
0.13000,-152
0.13167,-154
0.13333,-158
0.13500,-162
0.13667,-166
0.13833,-170
0.14000,-174
0.14167,-178
0.14333,-183
0.14500,-188
0.14667,-191
0.14833,-193
0.15000,-194
0.15167,-195
0.15333,-195
0.15500,-195
0.15667,-195
0.15833,-194
0.16000,-194
0.16167,-194
0.16333,-194
0.16500,-196
0.16667,-198
0.16833,-200
0.17000,-203
0.17167,-206
0.17333,-209
0.17500,-211
0.17667,-214
0.17833,-217
0.18000,-220
0.18167,-223
0.18333,-226
0.18500,-229
0.18667,-233
0.18833,-235
0.19000,-237
0.19167,-239
0.19333,-241
0.19500,-243
0.19667,-245
0.19833,-247
0.20000,-250
0.20167,-253
0.20333,-256
0.20500,-258
0.20667,-260
0.20833,-262
0.21000,-264
0.21167,-266
0.21333,-266
