[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_220729-new_5_03.lcd
Output Date,11/20/2023
Output Time,12:56:16 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3877
0.00167,-3877
0.00333,-3883
0.00500,-4
0.00667,-9
0.00833,-13
0.01000,-18
0.01167,-23
0.01333,-28
0.01500,-33
0.01667,-38
0.01833,-45
0.02000,-51
0.02167,-56
0.02333,-60
0.02500,-3
0.02667,-7
0.02833,-10
0.03000,-12
0.03167,-14
0.03333,-15
0.03500,-16
0.03667,-17
0.03833,-18
0.04000,-19
0.04167,-20
0.04333,-21
0.04500,-23
0.04667,-26
0.04833,-30
0.05000,-34
0.05167,-39
0.05333,-45
0.05500,-49
0.05667,-54
0.05833,-58
0.06000,-63
0.06167,-67
0.06333,-69
0.06500,-71
0.06667,-72
0.06833,-72
0.07000,-72
0.07167,-72
0.07333,-73
0.07500,-75
0.07667,-78
0.07833,-81
0.08000,-85
0.08167,-89
0.08333,-94
0.08500,-100
0.08667,-106
0.08833,-111
0.09000,-115
0.09167,-119
0.09333,-123
0.09500,-126
0.09667,-129
0.09833,-131
0.10000,-133
0.10167,-135
0.10333,-136
0.10500,-138
0.10667,-141
0.10833,-143
0.11000,-146
0.11167,-149
0.11333,-152
0.11500,-153
0.11667,-154
0.11833,-155
0.12000,-156
0.12167,-156
0.12333,-157
0.12500,-157
0.12667,-157
0.12833,-157
0.13000,-158
0.13167,-159
0.13333,-162
0.13500,-164
0.13667,-167
0.13833,-170
0.14000,-173
0.14167,-176
0.14333,-179
0.14500,-183
0.14667,-185
0.14833,-186
0.15000,-186
0.15167,-186
0.15333,-186
0.15500,-186
0.15667,-186
0.15833,-186
0.16000,-187
0.16167,-187
0.16333,-189
0.16500,-191
0.16667,-195
0.16833,-198
0.17000,-202
0.17167,-206
0.17333,-209
0.17500,-212
0.17667,-216
0.17833,-219
0.18000,-222
0.18167,-225
0.18333,-228
0.18500,-232
0.18667,-235
0.18833,-238
0.19000,-240
0.19167,-242
0.19333,-244
0.19500,-246
0.19667,-247
0.19833,-249
0.20000,-251
0.20167,-253
0.20333,-256
0.20500,-258
0.20667,-261
0.20833,-264
0.21000,-267
0.21167,-270
0.21333,-271
0.21500,-272
0.21667,-272
0.21833,-271
0.22000,-270
0.22167,-268
0.22333,-265
0.22500,-262
0.22667,-259
0.22833,-259
0.23000,-268
0.23167,-287
0.23333,-315
0.23500,-353
0.23667,-577
0.23833,-1141
0.24000,-2091
0.24167,-3433
0.24333,-5145
0.24500,-4546
0.24667,555
0.24833,10652
0.25000,25679
0.25167,45455
0.25333,71510
0.25500,106385
0.25667,152258
0.25833,210644
0.26000,282478
0.26167,366013
0.26333,463749
0.26500,581638
0.26667,724964
0.26833,897205
0.27000,1063982
0.27167,1205027
0.27333,1327133
0.27500,1442232
0.27667,1560197
0.27833,1650340
0.28000,1690470
0.28167,1682688
0.28333,1634750
0.28500,1553930
0.28667,1459315
0.28833,1360382
0.29000,1253713
0.29167,1133485
0.29333,994976
0.29500,862795
0.29667,751232
0.29833,654316
0.30000,562454
0.30167,467759
0.30333,382471
0.30500,313750
0.30667,256885
0.30833,205360
0.31000,153961
0.31167,108120
0.31333,70934
0.31500,39638
0.31667,10696
0.31833,-18671
0.32000,-45221
0.32167,-67125
0.32333,-85952
0.32500,-103728
0.32667,-122045
0.32833,-138940
0.33000,-153361
0.33167,-166314
0.33333,-179067
0.33500,-192609
0.33667,-205000
0.33833,-215099
0.34000,-223550
0.34167,-231288
0.34333,-239048
0.34500,-243362
0.34667,-241506
0.34833,-233257
0.35000,-219091
0.35167,-199558
0.35333,-178294
0.35500,-157099
0.35667,-135036
0.35833,-110715
0.36000,-83039
0.36167,-58011
0.36333,-39457
0.36500,-26463
0.36667,-17141
0.36833,-9857
0.37000,-4531
0.37167,-1135
0.37333,830
0.37500,1854
0.37667,2298
0.37833,2424
0.38000,2383
0.38167,2245
0.38333,2037
0.38500,1772
0.38667,1513
0.38833,1296
0.39000,1112
0.39167,943
0.39333,773
0.39500,628
0.39667,524
0.39833,455
0.40000,408
0.40167,375
0.40333,364
0.40500,384
0.40667,436
0.40833,517
0.41000,626
0.41167,754
0.41333,901
0.41500,1074
0.41667,1281
0.41833,1529
0.42000,1777
0.42167,2006
0.42333,2226
0.42500,2456
0.42667,2709
0.42833,2935
0.43000,3100
0.43167,3212
0.43333,3290
0.43500,3348
0.43667,3376
0.43833,3363
0.44000,3312
0.44167,3225
0.44333,3106
0.44500,2977
0.44667,2851
0.44833,2721
0.45000,2580
0.45167,2419
0.45333,2265
0.45500,2129
0.45667,2003
0.45833,1878
0.46000,1743
0.46167,1617
0.46333,1510
0.46500,1415
0.46667,1323
0.46833,1226
0.47000,1136
0.47167,1059
0.47333,990
0.47500,922
0.47667,850
0.47833,783
0.48000,724
0.48167,672
0.48333,619
0.48500,563
0.48667,511
0.48833,467
0.49000,428
0.49167,391
0.49333,352
0.49500,317
0.49667,289
0.49833,267
0.50000,248
0.50167,229
0.50333,215
0.50500,207
0.50667,206
0.50833,209
0.51000,216
0.51167,225
0.51333,235
0.51500,247
0.51667,261
0.51833,277
0.52000,292
0.52167,302
0.52333,308
0.52500,312
0.52667,313
0.52833,313
0.53000,311
0.53167,310
0.53333,307
0.53500,304
0.53667,303
0.53833,307
0.54000,315
0.54167,329
0.54333,347
0.54500,368
0.54667,395
0.54833,427
0.55000,466
0.55167,514
0.55333,560
0.55500,598
0.55667,631
0.55833,660
0.56000,690
0.56167,711
0.56333,715
0.56500,704
0.56667,678
0.56833,640
0.57000,596
0.57167,551
0.57333,502
0.57500,445
0.57667,380
0.57833,319
0.58000,267
0.58167,224
0.58333,184
0.58500,144
0.58667,108
0.58833,82
0.59000,63
0.59167,47
0.59333,34
0.59500,23
0.59667,15
0.59833,11
0.60000,8
0.60167,6
0.60333,4
0.60500,1
0.60667,-2
0.60833,-7
0.61000,-13
0.61167,-18
0.61333,-23
0.61500,-26
0.61667,-29
0.61833,-32
0.62000,-34
0.62167,-33
0.62333,-29
0.62500,-22
0.62667,-13
0.62833,-5
0.63000,2
0.63167,8
0.63333,13
0.63500,17
0.63667,21
0.63833,23
0.64000,24
0.64167,24
0.64333,24
0.64500,23
0.64667,23
0.64833,23
0.65000,24
0.65167,26
0.65333,28
0.65500,30
0.65667,33
0.65833,36
0.66000,39
0.66167,43
0.66333,48
0.66500,54
0.66667,61
0.66833,70
0.67000,79
0.67167,88
0.67333,98
0.67500,108
0.67667,121
0.67833,133
0.68000,143
