[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_220729-old_6_04.lcd
Output Date,11/20/2023
Output Time,12:56:16 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3842
0.00167,-3842
0.00333,-3851
0.00500,-3858
0.00667,-3866
0.00833,-3873
0.01000,-3880
0.01167,-6
0.01333,-12
0.01500,-19
0.01667,-27
0.01833,-34
0.02000,0
0.02167,-4
0.02333,-8
0.02500,-11
0.02667,-14
0.02833,-16
0.03000,-18
0.03167,-21
0.03333,-23
0.03500,-26
0.03667,-30
0.03833,-35
0.04000,-41
0.04167,-49
0.04333,-57
0.04500,-62
0.04667,-66
0.04833,-70
0.05000,-72
0.05167,-74
0.05333,-76
0.05500,-77
0.05667,-78
0.05833,-79
0.06000,-80
0.06167,-82
0.06333,-85
0.06500,-89
0.06667,-94
0.06833,-99
0.07000,-102
0.07167,-105
0.07333,-107
0.07500,-109
0.07667,-110
0.07833,-112
0.08000,-113
0.08167,-115
0.08333,-117
0.08500,-119
0.08667,-121
0.08833,-123
0.09000,-126
0.09167,-129
0.09333,-132
0.09500,-135
0.09667,-137
0.09833,-140
0.10000,-143
0.10167,-146
0.10333,-149
0.10500,-151
0.10667,-153
0.10833,-156
0.11000,-158
0.11167,-160
0.11333,-162
0.11500,-163
0.11667,-165
0.11833,-166
0.12000,-167
0.12167,-168
0.12333,-169
0.12500,-171
0.12667,-172
0.12833,-174
0.13000,-175
0.13167,-177
0.13333,-179
0.13500,-180
0.13667,-182
0.13833,-183
0.14000,-185
0.14167,-186
0.14333,-188
0.14500,-189
0.14667,-190
0.14833,-192
0.15000,-193
0.15167,-194
0.15333,-194
0.15500,-195
0.15667,-195
0.15833,-196
0.16000,-197
0.16167,-198
0.16333,-199
0.16500,-201
0.16667,-203
0.16833,-206
0.17000,-208
0.17167,-212
0.17333,-216
0.17500,-220
0.17667,-225
0.17833,-229
0.18000,-233
0.18167,-237
0.18333,-241
0.18500,-245
0.18667,-247
0.18833,-249
0.19000,-250
0.19167,-251
0.19333,-252
0.19500,-253
0.19667,-255
0.19833,-256
0.20000,-258
0.20167,-261
0.20333,-264
0.20500,-267
0.20667,-270
0.20833,-274
0.21000,-277
0.21167,-280
0.21333,-283
0.21500,-284
0.21667,-286
0.21833,-287
0.22000,-287
0.22167,-287
0.22333,-286
0.22500,-285
0.22667,-282
0.22833,-276
0.23000,-268
0.23167,-257
0.23333,-244
0.23500,-421
0.23667,-952
0.23833,-1880
0.24000,-3211
0.24167,-4919
0.24333,-4678
0.24500,-598
0.24667,7729
0.24833,20230
0.25000,36710
0.25167,54891
0.25333,73854
0.25500,94555
0.25667,118174
0.25833,145706
0.26000,186647
0.26167,250490
0.26333,341922
0.26500,463180
0.26667,615104
0.26833,771125
0.27000,917244
0.27167,1060613
0.27333,1211918
0.27500,1379623
0.27667,1520652
0.27833,1605548
0.28000,1638030
0.28167,1629323
0.28333,1589667
0.28500,1530402
0.28667,1455931
0.28833,1364334
0.29000,1252579
0.29167,1118323
0.29333,986599
0.29500,871631
0.29667,767678
0.29833,665401
0.30000,557121
0.30167,458517
0.30333,378842
0.30500,312976
0.30667,253465
0.30833,194279
0.31000,141700
0.31167,99334
0.31333,64014
0.31500,31667
0.31667,-905
0.31833,-30210
0.32000,-54271
0.32167,-74842
0.32333,-94168
0.32500,-114011
0.32667,-132236
0.32833,-147688
0.33000,-161450
0.33167,-174896
0.33333,-189096
0.33500,-201990
0.33667,-212349
0.33833,-220838
0.34000,-228435
0.34167,-235914
0.34333,-239894
0.34500,-237696
0.34667,-229090
0.34833,-214530
0.35000,-194552
0.35167,-172936
0.35333,-151585
0.35500,-129561
0.35667,-105444
0.35833,-78108
0.36000,-53458
0.36167,-35266
0.36333,-22628
0.36500,-13682
0.36667,-6811
0.36833,-1865
0.37000,1223
0.37167,2938
0.37333,3740
0.37500,3967
0.37667,3901
0.37833,3707
0.38000,3441
0.38167,3116
0.38333,2734
0.38500,2371
0.38667,2071
0.38833,1820
0.39000,1591
0.39167,1362
0.39333,1164
0.39500,1015
0.39667,905
0.39833,819
0.40000,742
0.40167,691
0.40333,677
0.40500,698
0.40667,749
0.40833,825
0.41000,927
0.41167,1060
0.41333,1230
0.41500,1443
0.41667,1704
0.41833,1978
0.42000,2249
0.42167,2533
0.42333,2847
0.42500,3206
0.42667,3539
0.42833,3801
0.43000,4007
0.43167,4180
0.43333,4342
0.43500,4459
0.43667,4506
0.43833,4488
0.44000,4414
0.44167,4295
0.44333,4156
0.44500,4008
0.44667,3847
0.44833,3664
0.45000,3451
0.45167,3243
0.45333,3057
0.45500,2884
0.45667,2708
0.45833,2517
0.46000,2338
