[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_Buffer(231118)_2_02.lcd
Output Date,11/20/2023
Output Time,12:56:16 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-4148
0.00167,-4148
0.00333,-4156
0.00500,-4164
0.00667,-6
0.00833,-13
0.01000,-20
0.01167,-28
0.01333,-35
0.01500,-41
0.01667,-47
0.01833,-52
0.02000,-57
0.02167,-63
0.02333,-67
0.02500,-72
0.02667,-4
0.02833,-9
0.03000,-14
0.03167,-20
0.03333,-25
0.03500,-31
0.03667,-38
0.03833,-44
0.04000,-48
0.04167,-51
0.04333,-53
0.04500,-54
0.04667,-55
0.04833,-56
0.05000,-58
0.05167,-61
0.05333,-64
0.05500,-68
0.05667,-72
0.05833,-77
0.06000,-82
0.06167,-89
0.06333,-94
0.06500,-99
0.06667,-102
0.06833,-105
0.07000,-107
0.07167,-109
0.07333,-112
0.07500,-114
0.07667,-116
0.07833,-118
0.08000,-121
0.08167,-124
0.08333,-127
0.08500,-130
0.08667,-134
0.08833,-137
0.09000,-140
0.09167,-142
0.09333,-144
0.09500,-145
0.09667,-147
0.09833,-148
0.10000,-150
0.10167,-152
0.10333,-154
0.10500,-157
0.10667,-160
0.10833,-165
0.11000,-170
0.11167,-176
0.11333,-182
0.11500,-187
0.11667,-192
0.11833,-197
0.12000,-202
0.12167,-206
0.12333,-209
0.12500,-211
0.12667,-212
0.12833,-212
0.13000,-213
0.13167,-213
0.13333,-213
0.13500,-213
0.13667,-213
0.13833,-213
0.14000,-214
0.14167,-215
0.14333,-217
0.14500,-220
0.14667,-222
0.14833,-225
0.15000,-227
0.15167,-230
0.15333,-233
0.15500,-236
0.15667,-238
0.15833,-241
0.16000,-244
0.16167,-247
0.16333,-250
0.16500,-254
0.16667,-258
0.16833,-262
0.17000,-267
0.17167,-272
0.17333,-276
0.17500,-280
0.17667,-283
0.17833,-286
0.18000,-288
0.18167,-290
0.18333,-292
0.18500,-294
0.18667,-295
0.18833,-297
0.19000,-299
0.19167,-301
0.19333,-304
0.19500,-307
0.19667,-311
0.19833,-314
0.20000,-317
0.20167,-320
0.20333,-324
0.20500,-327
0.20667,-330
0.20833,-333
0.21000,-335
0.21167,-338
0.21333,-341
