[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_none_1_01.lcd
Output Date,11/20/2023
Output Time,12:56:17 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3636
0.00167,-3636
0.00333,-3636
0.00500,-3636
0.00667,0
0.00833,0
0.01000,0
0.01167,0
0.01333,0
0.01500,0
0.01667,0
0.01833,0
0.02000,0
0.02167,0
0.02333,0
0.02500,0
0.02667,0
0.02833,0
0.03000,0
0.03167,0
0.03333,0
0.03500,0
0.03667,0
0.03833,0
0.04000,0
0.04167,0
0.04333,0
0.04500,0
0.04667,0
0.04833,0
0.05000,0
0.05167,0
0.05333,0
0.05500,1
0.05667,17
0.05833,37
0.06000,62
0.06167,89
0.06333,119
0.06500,152
0.06667,191
0.06833,236
0.07000,285
0.07167,335
0.07333,389
0.07500,450
0.07667,521
0.07833,594
0.08000,666
0.08167,741
0.08333,825
0.08500,920
0.08667,1014
0.08833,1101
0.09000,1185
0.09167,1272
0.09333,1369
0.09500,1464
0.09667,1553
0.09833,1641
0.10000,1735
0.10167,1840
0.10333,1947
0.10500,2053
0.10667,2164
0.10833,2289
0.11000,2432
0.11167,2576
0.11333,2716
0.11500,2858
0.11667,3013
0.11833,3189
0.12000,3367
0.12167,3538
0.12333,3714
0.12500,3907
0.12667,4125
0.12833,4355
0.13000,4590
0.13167,4848
0.13333,5143
0.13500,5487
0.13667,5860
0.13833,6264
0.14000,6724
0.14167,7264
0.14333,7903
0.14500,8700
0.14667,9736
0.14833,11081
0.15000,12783
0.15167,14876
0.15333,17656
0.15500,21496
0.15667,26653
0.15833,33288
0.16000,41490
0.16167,50206
0.16333,58998
0.16500,68341
0.16667,78817
0.16833,90869
0.17000,102008
0.17167,110689
0.17333,117346
0.17500,122805
0.17667,127766
0.17833,131326
0.18000,132799
0.18167,132337
0.18333,130265
0.18500,126873
0.18667,122894
0.18833,118676
0.19000,114062
0.19167,108806
0.19333,102713
0.19500,96660
0.19667,91097
0.19833,85711
0.20000,80074
0.20167,73850
0.20333,67919
0.20500,62766
0.20667,58080
0.20833,53428
0.21000,48466
0.21167,43900
0.21333,40139
0.21500,36944
0.21667,33972
0.21833,30949
0.22000,28265
0.22167,26155
0.22333,24471
0.22500,23005
0.22667,21591
0.22833,20380
0.23000,19467
0.23167,18778
0.23333,18216
0.23500,17706
0.23667,17287
0.23833,16987
0.24000,16778
0.24167,16625
0.24333,16501
0.24500,16409
0.24667,16355
0.24833,16331
0.25000,16327
0.25167,16339
0.25333,16363
0.25500,16397
0.25667,16444
0.25833,16504
0.26000,16578
0.26167,16665
0.26333,16766
0.26500,16888
0.26667,17037
0.26833,17216
0.27000,17409
0.27167,17612
0.27333,17835
0.27500,18093
0.27667,18393
0.27833,18706
0.28000,19018
0.28167,19349
0.28333,19719
0.28500,20144
0.28667,20584
0.28833,21022
0.29000,21486
0.29167,22004
0.29333,22600
0.29500,23225
0.29667,23866
0.29833,24562
0.30000,25355
0.30167,26277
0.30333,27246
0.30500,28238
0.30667,29311
0.30833,30532
0.31000,31950
0.31167,33401
0.31333,34818
0.31500,36281
0.31667,37893
0.31833,39730
0.32000,41546
0.32167,43218
0.32333,44845
0.32500,46555
0.32667,48449
0.32833,50261
0.33000,51846
0.33167,53301
0.33333,54756
0.33500,56317
0.33667,57763
0.33833,58969
0.34000,60009
0.34167,60993
0.34333,62005
0.34500,62897
0.34667,63573
0.34833,64079
0.35000,64485
0.35167,64846
0.35333,65099
0.35500,65196
0.35667,65147
0.35833,64976
0.36000,64704
0.36167,64360
0.36333,63949
0.36500,63451
0.36667,62845
0.36833,62117
0.37000,61357
0.37167,60603
0.37333,59813
0.37500,58935
0.37667,57930
0.37833,56919
0.38000,55962
0.38167,54999
0.38333,53962
0.38500,52796
0.38667,51642
0.38833,50569
0.39000,49514
0.39167,48394
0.39333,47145
0.39500,45921
0.39667,44795
0.39833,43699
0.40000,42546
0.40167,41268
0.40333,40022
0.40500,38890
0.40667,37801
0.40833,36667
0.41000,35416
0.41167,34207
0.41333,33117
0.41500,32081
0.41667,31010
0.41833,29837
0.42000,28705
0.42167,27690
0.42333,26728
0.42500,25738
0.42667,24654
0.42833,23612
0.43000,22680
0.43167,21801
0.43333,20900
0.43500,19916
0.43667,18973
0.43833,18136
0.44000,17352
0.44167,16553
0.44333,15684
0.44500,14856
0.44667,14125
0.44833,13445
0.45000,12757
0.45167,12013
0.45333,11306
0.45500,10688
0.45667,10118
0.45833,9545
0.46000,8928
0.46167,8345
0.46333,7839
0.46500,7377
0.46667,6916
0.46833,6423
0.47000,5960
0.47167,5561
0.47333,5200
0.47500,4845
0.47667,4466
0.47833,4116
0.48000,3821
0.48167,3564
0.48333,3317
0.48500,3061
0.48667,2831
0.48833,2650
0.49000,2507
0.49167,2383
0.49333,2264
0.49500,2172
0.49667,2123
0.49833,2113
0.50000,2133
0.50167,2178
0.50333,2250
0.50500,2357
0.50667,2504
0.50833,2695
0.51000,2932
0.51167,3195
0.51333,3482
0.51500,3811
0.51667,4196
0.51833,4652
0.52000,5136
0.52167,5634
0.52333,6176
0.52500,6795
0.52667,7515
0.52833,8263
0.53000,9013
0.53167,9810
0.53333,10705
0.53500,11735
0.53667,12793
0.53833,13835
0.54000,14923
0.54167,16131
0.54333,17513
0.54500,18918
0.54667,20283
0.54833,21689
0.55000,23234
0.55167,24992
0.55333,26765
0.55500,28464
0.55667,30192
0.55833,32073
0.56000,34201
0.56167,36327
0.56333,38337
0.56500,40350
0.56667,42516
0.56833,44952
0.57000,47364
0.57167,49610
0.57333,51828
0.57500,54189
0.57667,56823
0.57833,59407
0.58000,61779
0.58167,64084
0.58333,66505
0.58500,69186
0.58667,71788
0.58833,74133
0.59000,76367
0.59167,78676
0.59333,81207
0.59500,83630
0.59667,85772
0.59833,87763
0.60000,89780
0.60167,91962
0.60333,94021
0.60500,95799
0.60667,97407
0.60833,98997
0.61000,100690
0.61167,102256
0.61333,103566
0.61500,104704
0.61667,105787
0.61833,106908
0.62000,107908
0.62167,108687
0.62333,109299
0.62500,109819
0.62667,110311
0.62833,110694
0.63000,110910
0.63167,110979
0.63333,110932
0.63500,110797
0.63667,110585
0.63833,110290
0.64000,109898
0.64167,109399
0.64333,108787
0.64500,108138
0.64667,107484
0.64833,106789
0.65000,106009
0.65167,105111
0.65333,104203
0.65500,103332
0.65667,102447
0.65833,101486
0.66000,100398
0.66167,99315
0.66333,98295
0.66500,97277
0.66667,96186
0.66833,94962
0.67000,93755
