[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_unknow-new_9_07.lcd
Output Date,11/20/2023
Output Time,3:54:28 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-3884
0.00167,-3884
0.00333,-3886
0.00500,-3889
0.00667,-0
0.00833,-3
0.01000,-6
0.01167,-10
0.01333,-16
0.01500,-22
0.01667,-29
0.01833,-36
0.02000,-41
0.02167,-47
0.02333,-52
0.02500,-57
0.02667,0
0.02833,-2
0.03000,-3
0.03167,-3
0.03333,-2
0.03500,-2
0.03667,-1
0.03833,-1
0.04000,-1
0.04167,-2
0.04333,-3
0.04500,-4
0.04667,-7
0.04833,-10
0.05000,-14
0.05167,-18
0.05333,-22
0.05500,-26
0.05667,-32
0.05833,-37
0.06000,-41
0.06167,-45
0.06333,-48
0.06500,-51
0.06667,-54
0.06833,-57
0.07000,-60
0.07167,-63
0.07333,-66
0.07500,-68
0.07667,-70
0.07833,-71
0.08000,-71
0.08167,-71
0.08333,-71
0.08500,-70
0.08667,-70
0.08833,-70
0.09000,-71
0.09167,-72
0.09333,-74
0.09500,-78
0.09667,-82
0.09833,-88
0.10000,-94
0.10167,-99
0.10333,-104
0.10500,-109
0.10667,-114
0.10833,-119
0.11000,-123
0.11167,-126
0.11333,-128
0.11500,-130
0.11667,-131
0.11833,-132
0.12000,-133
0.12167,-134
0.12333,-135
0.12500,-135
0.12667,-136
0.12833,-136
0.13000,-137
0.13167,-137
0.13333,-137
0.13500,-137
0.13667,-136
0.13833,-134
0.14000,-131
0.14167,-129
0.14333,-127
0.14500,-127
0.14667,-126
0.14833,-127
0.15000,-128
0.15167,-129
0.15333,-131
0.15500,-134
0.15667,-137
0.15833,-140
0.16000,-143
0.16167,-146
0.16333,-149
0.16500,-151
0.16667,-154
0.16833,-156
0.17000,-157
0.17167,-159
0.17333,-160
0.17500,-161
0.17667,-162
0.17833,-163
0.18000,-164
0.18167,-166
0.18333,-167
0.18500,-168
0.18667,-170
0.18833,-172
0.19000,-173
0.19167,-176
0.19333,-178
0.19500,-180
0.19667,-183
0.19833,-186
0.20000,-189
0.20167,-191
0.20333,-194
0.20500,-196
0.20667,-199
0.20833,-201
0.21000,-203
0.21167,-203
0.21333,-203
0.21500,-202
0.21667,-201
0.21833,-199
0.22000,-197
0.22167,-194
0.22333,-191
0.22500,-187
0.22667,-183
0.22833,-178
0.23000,-173
0.23167,-166
0.23333,-252
0.23500,-508
0.23667,-957
0.23833,-1600
0.24000,-2433
0.24167,-3393
0.24333,-4477
0.24500,-5745
0.24667,-7257
0.24833,-9050
0.25000,-9737
0.25167,-8224
0.25333,-4333
0.25500,1836
0.25667,10126
0.25833,18631
0.26000,26257
0.26167,33307
0.26333,40358
0.26500,47975
0.26667,65902
0.26833,102783
0.27000,161616
0.27167,243174
0.27333,347325
0.27500,454646
0.27667,554706
0.27833,652191
0.28000,754422
0.28167,867246
0.28333,960106
0.28500,1011782
0.28667,1024372
0.28833,1005386
0.29000,961803
0.29167,905496
0.29333,842036
0.29500,769632
0.29667,685076
0.29833,585765
0.30000,488071
0.30167,400930
0.30333,319666
0.30500,237352
0.30667,148424
0.30833,68692
0.31000,8050
0.31167,-37075
0.31333,-72763
0.31500,-104091
0.31667,-126255
0.31833,-135532
0.32000,-133036
0.32167,-120827
0.32333,-100704
0.32500,-79117
0.32667,-59898
0.32833,-42617
0.33000,-25867
0.33167,-8383
0.33333,7070
0.33500,18782
0.33667,27516
0.33833,34467
0.34000,40619
0.34167,45208
0.34333,47666
0.34500,48257
0.34667,47390
0.34833,45408
0.35000,42981
0.35167,40469
0.35333,37823
0.35500,34900
0.35667,31574
0.35833,28420
0.36000,25768
0.36167,23473
0.36333,21305
0.36500,19074
0.36667,17063
0.36833,15435
0.37000,14077
0.37167,12835
0.37333,11588
0.37500,10457
0.37667,9507
0.37833,8668
0.38000,7855
0.38167,7001
0.38333,6212
0.38500,5550
0.38667,4971
0.38833,4416
0.39000,3839
0.39167,3321
0.39333,2912
0.39500,2585
0.39667,2302
0.39833,2029
0.40000,1802
0.40167,1643
0.40333,1540
0.40500,1474
0.40667,1431
0.40833,1409
0.41000,1410
0.41167,1432
0.41333,1472
0.41500,1527
0.41667,1586
0.41833,1640
0.42000,1693
0.42167,1748
0.42333,1809
0.42500,1863
0.42667,1901
0.42833,1927
0.43000,1944
0.43167,1955
0.43333,1957
0.43500,1946
0.43667,1922
0.43833,1884
0.44000,1834
0.44167,1779
0.44333,1724
0.44500,1665
0.44667,1599
0.44833,1524
0.45000,1449
0.45167,1382
0.45333,1317
0.45500,1250
0.45667,1177
0.45833,1106
0.46000,1044
0.46167,987
0.46333,929
0.46500,866
0.46667,806
0.46833,752
0.47000,703
0.47167,652
0.47333,597
0.47500,545
0.47667,498
0.47833,455
0.48000,412
0.48167,365
0.48333,321
0.48500,282
0.48667,248
0.48833,213
0.49000,176
0.49167,143
0.49333,114
0.49500,91
0.49667,68
0.49833,45
0.50000,26
0.50167,12
0.50333,2
0.50500,-5
0.50667,-10
0.50833,-13
0.51000,-12
0.51167,-9
0.51333,-3
0.51500,4
0.51667,12
0.51833,18
0.52000,22
0.52167,25
0.52333,27
0.52500,28
0.52667,27
0.52833,24
0.53000,20
0.53167,15
0.53333,9
0.53500,4
0.53667,-1
0.53833,-7
0.54000,-13
0.54167,-20
0.54333,-28
0.54500,-38
0.54667,-49
0.54833,-62
0.55000,-75
0.55167,-87
0.55333,-96
0.55500,-105
0.55667,-115
0.55833,-123
0.56000,-129
0.56167,-132
0.56333,-135
0.56500,-137
0.56667,-138
0.56833,-140
0.57000,-143
0.57167,-146
0.57333,-149
0.57500,-154
0.57667,-158
0.57833,-164
0.58000,-170
0.58167,-177
0.58333,-184
0.58500,-191
0.58667,-197
0.58833,-203
0.59000,-211
0.59167,-217
0.59333,-223
0.59500,-228
0.59667,-232
0.59833,-237
0.60000,-241
0.60167,-244
0.60333,-247
0.60500,-249
0.60667,-250
0.60833,-252
0.61000,-254
0.61167,-257
0.61333,-260
0.61500,-264
0.61667,-269
0.61833,-273
0.62000,-277
0.62167,-282
0.62333,-287
0.62500,-292
0.62667,-296
0.62833,-299
0.63000,-301
0.63167,-304
0.63333,-306
0.63500,-306
0.63667,-306
0.63833,-305
0.64000,-303
0.64167,-301
0.64333,-299
0.64500,-296
0.64667,-293
0.64833,-289
0.65000,-286
0.65167,-284
0.65333,-283
0.65500,-284
0.65667,-286
0.65833,-288
0.66000,-290
0.66167,-292
0.66333,-293
0.66500,-295
0.66667,-296
0.66833,-296
0.67000,-294
0.67167,-290
0.67333,-285
0.67500,-280
0.67667,-275
0.67833,-270
0.68000,-266
0.68167,-261
0.68333,-258
0.68500,-255
0.68667,-254
0.68833,-254
0.69000,-255
0.69167,-257
0.69333,-259
0.69500,-261
0.69667,-264
0.69833,-268
0.70000,-271
0.70167,-275
0.70333,-278
0.70500,-282
0.70667,-286
0.70833,-290
0.71000,-292
0.71167,-294
0.71333,-295
0.71500,-295
0.71667,-295
0.71833,-294
0.72000,-292
0.72167,-288
0.72333,-284
0.72500,-280
0.72667,-275
0.72833,-271
0.73000,-266
0.73167,-261
0.73333,-256
0.73500,-252
0.73667,-248
0.73833,-244
0.74000,-240
0.74167,-237
0.74333,-235
0.74500,-234
0.74667,-233
0.74833,-233
0.75000,-233
0.75167,-234
0.75333,-234
0.75500,-235
0.75667,-235
0.75833,-236
0.76000,-237
0.76167,-237
0.76333,-238
0.76500,-239
0.76667,-240
0.76833,-240
0.77000,-239
0.77167,-238
0.77333,-236
0.77500,-233
0.77667,-231
0.77833,-228
0.78000,-225
0.78167,-221
0.78333,-218
0.78500,-216
0.78667,-215
0.78833,-215
0.79000,-215
0.79167,-216
0.79333,-217
0.79500,-219
0.79667,-221
0.79833,-224
0.80000,-227
0.80167,-230
0.80333,-232
0.80500,-234
0.80667,-237
0.80833,-239
0.81000,-240
0.81167,-241
0.81333,-241
0.81500,-241
0.81667,-241
0.81833,-242
0.82000,-244
0.82167,-247
0.82333,-252
0.82500,-257
0.82667,-261
0.82833,-266
0.83000,-272
0.83167,-278
0.83333,-283
0.83500,-288
0.83667,-291
0.83833,-293
0.84000,-295
0.84167,-297
0.84333,-299
0.84500,-301
0.84667,-304
0.84833,-307
0.85000,-310
0.85167,-314
0.85333,-318
0.85500,-324
0.85667,-330
0.85833,-336
0.86000,-341
0.86167,-346
0.86333,-350
0.86500,-354
0.86667,-359
0.86833,-363
0.87000,-367
0.87167,-371
0.87333,-376
0.87500,-380
0.87667,-384
0.87833,-388
0.88000,-392
0.88167,-395
0.88333,-398
0.88500,-401
0.88667,-402
0.88833,-403
0.89000,-404
0.89167,-404
0.89333,-405
0.89500,-405
0.89667,-405
0.89833,-405
0.90000,-405
0.90167,-405
0.90333,-406
0.90500,-406
0.90667,-407
0.90833,-407
0.91000,-408
0.91167,-409
0.91333,-410
0.91500,-412
0.91667,-413
0.91833,-415
0.92000,-415
0.92167,-415
0.92333,-415
0.92500,-415
0.92667,-415
0.92833,-414
0.93000,-413
0.93167,-412
0.93333,-411
0.93500,-409
0.93667,-407
0.93833,-404
0.94000,-400
0.94167,-396
0.94333,-392
0.94500,-388
0.94667,-384
0.94833,-380
0.95000,-376
0.95167,-372
0.95333,-369
0.95500,-367
0.95667,-365
0.95833,-363
0.96000,-361
0.96167,-360
0.96333,-358
0.96500,-357
0.96667,-356
0.96833,-355
0.97000,-356
0.97167,-356
0.97333,-358
0.97500,-359
0.97667,-360
0.97833,-361
0.98000,-362
0.98167,-363
0.98333,-364
0.98500,-365
0.98667,-366
0.98833,-368
0.99000,-370
0.99167,-372
0.99333,-375
0.99500,-379
0.99667,-384
0.99833,-390
1.00000,-396
1.00167,-401
1.00333,-405
1.00500,-409
1.00667,-413
1.00833,-416
1.01000,-418
1.01167,-419
1.01333,-419
1.01500,-418
1.01667,-417
1.01833,-416
1.02000,-414
1.02167,-413
1.02333,-412
1.02500,-410
1.02667,-410
1.02833,-409
1.03000,-409
1.03167,-409
1.03333,-410
1.03500,-410
1.03667,-410
1.03833,-411
1.04000,-411
1.04167,-412
1.04333,-413
1.04500,-415
1.04667,-417
1.04833,-420
1.05000,-424
1.05167,-427
1.05333,-430
1.05500,-433
1.05667,-437
1.05833,-440
1.06000,-441
1.06167,-440
1.06333,-439
1.06500,-436
1.06667,-433
1.06833,-430
1.07000,-426
1.07167,-423
1.07333,-418
1.07500,-415
1.07667,-412
1.07833,-409
1.08000,-407
1.08167,-405
1.08333,-403
1.08500,-402
1.08667,-401
1.08833,-401
1.09000,-400
1.09167,-400
1.09333,-400
1.09500,-401
1.09667,-402
1.09833,-404
1.10000,-406
1.10167,-407
1.10333,-408
1.10500,-409
1.10667,-409
1.10833,-410
1.11000,-410
1.11167,-411
1.11333,-411
1.11500,-412
1.11667,-413
1.11833,-414
1.12000,-415
1.12167,-417
1.12333,-419
1.12500,-421
1.12667,-423
1.12833,-424
1.13000,-426
1.13167,-427
1.13333,-428
1.13500,-428
1.13667,-426
1.13833,-424
1.14000,-420
1.14167,-416
1.14333,-412
1.14500,-409
1.14667,-404
1.14833,-400
1.15000,-396
1.15167,-394
1.15333,-393
1.15500,-393
1.15667,-394
1.15833,-395
1.16000,-396
1.16167,-398
1.16333,-399
1.16500,-401
1.16667,-402
1.16833,-403
1.17000,-404
1.17167,-404
1.17333,-404
1.17500,-404
1.17667,-405
1.17833,-406
1.18000,-408
1.18167,-411
1.18333,-414
1.18500,-416
1.18667,-419
1.18833,-423
1.19000,-426
1.19167,-430
1.19333,-432
1.19500,-434
1.19667,-435
1.19833,-436
1.20000,-436
1.20167,-437
1.20333,-437
1.20500,-438
1.20667,-438
1.20833,-439
1.21000,-440
1.21167,-442
1.21333,-444
1.21500,-448
1.21667,-451
1.21833,-453
1.22000,-456
1.22167,-459
1.22333,-462
1.22500,-465
1.22667,-468
1.22833,-470
1.23000,-471
1.23167,-473
1.23333,-474
1.23500,-474
1.23667,-473
1.23833,-471
1.24000,-469
1.24167,-466
1.24333,-464
1.24500,-462
1.24667,-461
1.24833,-460
1.25000,-460
1.25167,-459
1.25333,-458
1.25500,-458
1.25667,-457
1.25833,-455
1.26000,-454
1.26167,-451
1.26333,-448
1.26500,-445
1.26667,-441
1.26833,-438
1.27000,-436
1.27167,-434
1.27333,-432
1.27500,-430
1.27667,-427
1.27833,-424
1.28000,-420
1.28167,-415
1.28333,-411
1.28500,-406
1.28667,-402
1.28833,-397
1.29000,-392
1.29167,-388
1.29333,-384
1.29500,-380
1.29667,-377
1.29833,-373
1.30000,-370
1.30167,-367
1.30333,-364
1.30500,-362
1.30667,-360
1.30833,-357
1.31000,-355
1.31167,-354
1.31333,-353
1.31500,-352
1.31667,-351
