[Header]
Application Name,LabSolutions
Version,5.113
Data File Name,C:\LabSolutions\Data\Max\231120 troubleshoot_unknow-old_10_08.lcd
Output Date,11/20/2023
Output Time,3:54:28 PM

[Configuration]
Instrument Name,LCMSShimadzu
Instrument #,2
Line #,1
# of Detectors,2
Detector ID,Detector A,MS
Detector Name,Detector A,MS
# of Channels,2,1

[LC Chromatogram(Detector A-Ch1)]
Interval(msec),100
# of Points,9001
Start Time(min),0.000
End Time(min),15.000
Intensity Units,mAU
Intensity Multiplier,0.001
Wavelength(nm),205nm
R.Time (min),Intensity
0.00000,-4082
0.00167,-4082
0.00333,0
0.00500,-5
0.00667,-10
0.00833,-15
0.01000,-20
0.01167,-26
0.01333,-33
0.01500,-39
0.01667,-45
0.01833,-50
0.02000,-55
0.02167,-60
0.02333,0
0.02500,-3
0.02667,-4
0.02833,-5
0.03000,-5
0.03167,-5
0.03333,-6
0.03500,-8
0.03667,-11
0.03833,-15
0.04000,-21
0.04167,-26
0.04333,-32
0.04500,-38
0.04667,-46
0.04833,-53
0.05000,-58
0.05167,-61
0.05333,-64
0.05500,-65
0.05667,-67
0.05833,-68
0.06000,-69
0.06167,-71
0.06333,-72
0.06500,-74
0.06667,-77
0.06833,-80
0.07000,-84
0.07167,-89
0.07333,-93
0.07500,-97
0.07667,-101
0.07833,-104
0.08000,-108
0.08167,-112
0.08333,-115
0.08500,-119
0.08667,-123
0.08833,-127
0.09000,-131
0.09167,-134
0.09333,-136
0.09500,-138
0.09667,-139
0.09833,-139
0.10000,-139
0.10167,-139
0.10333,-139
0.10500,-139
0.10667,-139
0.10833,-140
0.11000,-142
0.11167,-145
0.11333,-149
0.11500,-154
0.11667,-157
0.11833,-160
0.12000,-162
0.12167,-164
0.12333,-166
0.12500,-169
0.12667,-171
0.12833,-173
0.13000,-175
0.13167,-178
0.13333,-180
0.13500,-182
0.13667,-184
0.13833,-187
0.14000,-189
0.14167,-191
0.14333,-191
0.14500,-191
0.14667,-191
0.14833,-190
0.15000,-190
0.15167,-190
0.15333,-191
0.15500,-192
0.15667,-193
0.15833,-194
0.16000,-195
0.16167,-197
0.16333,-198
0.16500,-200
0.16667,-201
0.16833,-202
0.17000,-203
0.17167,-204
0.17333,-205
0.17500,-205
0.17667,-206
0.17833,-207
0.18000,-207
0.18167,-208
0.18333,-210
0.18500,-212
0.18667,-215
0.18833,-218
0.19000,-222
0.19167,-226
0.19333,-231
0.19500,-236
0.19667,-242
0.19833,-247
0.20000,-250
0.20167,-253
0.20333,-254
0.20500,-255
0.20667,-256
0.20833,-256
0.21000,-255
